TASK,category,,
Orcale Health Check,automatable,,
OU Move,automatable,,
Leaver Request / OU Move,automatable,,
Enableing of disabled Account,automatable,,
Generate the Group Membership for a Share,automatable,,
3G/4G VSAT backup test,automatable,,
Application Installation,automatable,,
Monitoring - Prod (Application),automatable,,
Monitoring - QAS (Application) ,automatable,,
Oracle Stats update,automatable,,
Backup Status update,automatable,,
Capacity planning - Table space,automatable,,
Capacity planning - storage,automatable,,
Quality System Refresh,automatable,,
Oracle client upgrade,automatable,,
HR LCP Patch upgrade,automatable,,
FS space monitoring,automatable,,
SAP Diagnosting Agent and host agent upgrade,automatable,,
SAP ABAP and Java Certificate expiration alert ,automatable,,
SAP License expiration alert,automatable,,
Automatic installation of maitenace certificate ,automatable,,
Reports (SLA),automatable,,
Admin local User/Group creation or deletion or disabling,automatable,,
Backup status report ,automatable,,
Backup Window monitoring and analysis report,automatable,,
Citrix Servers Health Checkup,automatable,,
CV Backup Failure,automatable,,
Deduplication Statistics reports,automatable,,
Deploying a VM,automatable,,
Domain Controller monitoring,automatable,,
Domain Controllers UP time report across all Domains,automatable,,
Domain group addition to a local administrators group in server post approval via Service now,automatable,,
Problem record for Memory Issues,automatable,,
Existing Share folder access,automatable,,
Health Check -Exchange,automatable,,
High CPU Utilization,automatable,,
High Memory Utilization,automatable,,
Inactive/Terminated accounts,automatable,,
Logical Disk Free Space is low,automatable,,
Make sure that all the clients whose job got failed are having incident,automatable,,
Mentioned patches are installed or not  for list of servers,automatable,,
Modification of DL ownership,automatable,,
Monthly Billing Inputs,automatable,,
MOR Input (Backup Success Rate),automatable,,
NSLOOKUP of servers-  (success/failure),automatable,,
On Demand Performance reports,automatable,,
Operating System Memory Utilization,automatable,,
Page file Utilization,automatable,,
Performing health check on vCenters,automatable,,
Port Connectivity Check between provided source/destination server/Port,automatable,,
Problem record for CPU Issues,automatable,,
Problem record for Disk Issues,automatable,,
Problem record for Page file Issues,automatable,,
Prod start/stop,automatable,,
Reboot,automatable,,
Reclaim the storage in ESX level,automatable,,
Remove/change secondary email address,automatable,,
Reset Local admin password for servers in DMZ,automatable,,
Script to check Local users and Local admins on the servers,automatable,,
Script would identify deployed Windows OS service packs,automatable,,
Server reboot in order,automatable,,
server uptime script  for list of servers,automatable,,
Service Restart,automatable,,
Setting up startup & end notifications scripts,automatable,,
Share folder creation,automatable,,
Symantec AV Version Check,automatable,,
To check the Appsense conf file in all Xenapp Servers,automatable,,
To create a local user account and provide admin privelage,automatable,,
User Objects Cleanup ,automatable,,
Push similar configuration on multiple devices at same time,automatable,,
Create print queue,automatable,,
Paper site survey using Cisco Prime,automatable,,
Creating new DHCP scopes,automatable,,
New DNS record creation,automatable,,
Update the inventory,automatable,,
Adding the devices in tools for monitoring,automatable,,
Preparing Eplan for WAN upgrade,automatable,,
Enable Printer,automatable,,
Preparing Eplan for site build,automatable,,
Preparing Eplan for WLAN deployment,automatable,,
Taking backup of the device for any power maintenance / reboot,automatable,,
Ciscoprime Controller '10.33.237.10'. All anchors of WLAN 'WI-GUEST' are down.,automatable,,
IP address assignment,automatable,,
WAN availability report - weekly,automatable,,
LAN availablility report - weekly,automatable,,
Network Health report - weekly,automatable,,
Wireless faliure report - monthly,automatable,,
Lockout Issue,automatable,,
Password Reset,automatable,,
Software Installation / Update,automatable,,
Server health check,automatable,,
Sign-in issue,automatable,,
Common area phone config,automatable,,
Response group creation,automatable,,
Service report,automatable,,
Certificate renewal,automatable,,
Daily backup report generation,automatable,,
Backup status reports ,automatable,,
Data Domain Health Check,automatable,,
Perform Daily Backup and System Monitoring,automatable,,
Event reports,automatable,,
Host Report,automatable,,
DB Patching,automatable,,
User Account Removal,automatable,,
DB Refresh,automatable,,
Oracle Software Installation,automatable,,
Setting Database Environment Variables - updates the  default env var,automatable,,
Database - monitors Database using the predefined db query,automatable,,
Tablespace  - monitors tablespace using the predefined db query,automatable,,
Firewall - Rule base addition,automatable,,
Firewall - Rule base deletion,automatable,,
Firewall - Rule base amendment,automatable,,
Firewall - Port addition,automatable,,
 User creation on Unix server,automatable,,
Firewall - User name deletion,automatable,,
Firewall - Version upgrade ,automatable,,
VPN - Authentication issue,automatable,,
VPN - User addition,automatable,,
VPN device - version upgrade ,automatable,,
Security - devices not reporting to Poll server,automatable,,
High CPU utilization,automatable,,
Folder missing,automatable,,
Folder creation,automatable,,
Folder access,automatable,,
SFTP user addition ,automatable,,
SFTP access for users,automatable,,
Servers not reporting to Qradar,automatable,,
Gold group addition,automatable,,
website exception,automatable,,
QOS policy creation,automatable,,
User addition,automatable,,
user Creation,automatable,,
SOX audit report,automatable,,
Url White list,automatable,,
Group enrollment issues,automatable,,
Disable Printer,automatable,,
Remove Printer,automatable,,
Password reset,automatable,,
Group Creation,automatable,,
LVM File system creation,automatable,,
File System Deletion,automatable,,
Add Group,automatable,,
collect  system config - Pre reboot,automatable,,
collect system config  Post reboot,automatable,,
Check printer  queue size,automatable,,
user deletion,automatable,,
Printer creation,automatable,,
Add Printer,automatable,,
Delete Group,automatable,,
Preparing Eplan for LAN switch deployment,automatable,,
Firewall - User name creation,automatable,,
Modify Group,automatable,,
Delete Print Queue,automatable,,
Delete Print Queue,automatable,,
Creating and  Capturing Image,automatable,,
Disk space utlization monitoring,automatable,,
SCCM Services monitoring,automatable,,
SQL Jobs Monitoring in sccm server,automatable,,
SCCM server montly reboot (Automation),automatable,,
Daily Maintenance Activity,automatable,,
Weekly Maintenance Activity,automatable,,
Monthly Maintenance Activity,automatable,,
DHCP scope validation for cutover,automatable,,
Monitoring Pre-Pilot/Pilot/Production/VIP/VVIP Compliance issues,automatable,,
Password Reset,automatable,,
To create/delete/disable a local user account (can be done by providing GPO to the Admin for Deleting Admin Account),automatable,,
Server Login Scripts implementation (GPO Configuration),automatable,,
Disk & File Systems Cleanups (Only for OS Drive),automatable,,
"Windows Services Management - Start, Stop (Check Service Script)",automatable,,
Monitoring IIS Services (check IIS service and send mail when IIS down) (Check Service Script),automatable,,
Manual installation of patches in case it failed through WSUS or any other automated tool,automatable,,
Server Health Check,automatable,,
Control-M Agent file system periodic clean up,automatable,,
Batch job status reports,automatable,,
Batch Jobs email notification,automatable,,
Batch Job failure Incidents creation,automatable,,
Control-M Master components Clean up,automatable,,
Control-M User configuration,automatable,,
Quarterly Audit,automatable,,
Multiple Command Line Generation for multiple collections for Terminal Server Deployment in a single click.,automatable,,
Disk & File Systems Cleanups,automatable,,
"Windows Services Management - Start, Stop",automatable,,
Server Prformance Chart - generate and export,automatable,,
Ensure antivirus definitions are up to date on all servers,automatable,,
Server decommission,automatable,,
Server shutdown upon issue/request,automatable,,
Patching HP-UX machines using tools,automatable,,
Backup Server installation - CommVault,automatable,,
"Manage storage pools, policies, schedule",automatable,,
Monitor storage pool,automatable,,
All services are up on master server and no issue with any of services / daemons,automatable,,
All media servers are up and running,automatable,,
Status of devices,automatable,,
Check the space of availability on master and media servers,automatable,,
All clients backup / duplicate / restore failures from last 24 hours,automatable,,
Check for incoming and outgoing tapes for that particular day,automatable,,
Backup status/success/failure reports ,automatable,,
"Backup server, Media Server , Tape library availability",automatable,,
Clearing OMSA Logs,automatable,,
Checking permission on source and destination - Some times if permission not replicated to destination then manual troubleshooting needs to be done,automatable,,
Replicate the source permission to destination with file folder permission as well time stamp of current file ,automatable,,
Compare files from source to destination with permission ,automatable,,
"Required script to validate users in Active directory if exist - then fetch the detail of current home drive path and compare with current source for which we are performing migration, if No then rename folder on current source with .old ext",automatable,,
Script requried to check security group on shared folders / Also need to get detail of owner for these security group from AD or which tool currently AA team using,automatable,,
Opening ticket with Vendor/Vendor follow up,automatable,,
Weekly report creation/Monthly SLA report creation/Weekly report presentation/Monthly Report DEI and Ops Hi5/Monthly report Stack ranking,automatable,,
Health Check,automatable,,
Weekly Report Presentation/Monthly report creation/Weekly report,automatable,,
Freight LPAR & Workload reports,automatable,,
Lync Account provisioning,automatable,,
Exchange User Mailbox Provisioning,automatable,,
Exchange Group Mailbox Access and ownership transfer,automatable,,
Exchange Out of Office Setup,automatable,,
iPlanet Out of Office setup,automatable,,
iPlanet Quota Increase,automatable,,
iPlanet to Exchange Migration Request,automatable,,
EMS Instance Upgrade,automatable,,
(PROD): File System Full,automatable,,
   PROD-   : Not Receiving Agent Messages,automatable,,
  (EMS _RACI) : Install EMS Instance in all approved platforms,automatable,,
Queue Purge request,automatable,,
   Compact and Rotate Log,automatable,,
Topic Purge Request,automatable,,
PROD-   : Delete Durable,automatable,,
EMS new patch implementation,automatable,,
EMS: trace trigger on instance,automatable,,
EMS: Instance down/Bounce,automatable,,
EMS: MCD Alert handling,automatable,,
Spotfire analysis for application teams,automatable,,
Patching on JMS server,automatable,,
Cleanup Task,automatable,,
SQL Server Installation,automatable,,
SQL Server Configuration / HA & DR,automatable,,
Application/Tools installation,automatable,,
Monitoring (All DB track),automatable,,
Other Admin tasks /Index Maintenance,automatable,,
Adhoc Backup Request,automatable,,
"Backup (Cold, Hot, Export/Datapump(EXPDP), Flashback, RMAN)",automatable,,
New Build/Oracle Installation,automatable,,
Jobs management,automatable,,
listener log purge ,automatable,,
Mount point Full -Threshold crossed (/opt/oracle),automatable,,
T LOG  Full,automatable,,
Decommission NBU Clients,automatable,,
Backup server security (user access/compliance),automatable,,
Netbackup Access Validation,automatable,,
SLA report,automatable,,
Server Build,automatable,,
Server Decomm,automatable,,
Isight Registration,automatable,,
Tripwire,automatable,,
Reporting,automatable,,
 VPLEX-VMAX/3PAR/XIO Expansion,automatable,,
 VMAX/3PAR/XIO/VMAX-3/VNX Block New Design,automatable,,
 VMAX/3PAR/XIO/VMAX-3/VNX Block Re-Design,automatable,,
 VMAX/3PAR/XIO/VMAX-3/VNX Block Expansion,automatable,,
Port Channel Expansion,automatable,,
Zoning,automatable,,
 Isilon/VNX File New Design,automatable,,
 Isilon/VNX File -Adding/Remove clients,automatable,,
 Isilon/VNX File Expansion,automatable,,
Generate and share UC03 CDR report to voice planners,automatable,,
Resolved Incidents TRT_FCR_FTR,automatable,,
CSAT Report,automatable,,
Submitted Completed Tasks,automatable,,
Open Incidents - Daily,automatable,,
Automation of request tickets,automatable,,
Automated TDPO backup alerts,automatable,,
ITSD Open reqeust categorised teamwise,automatable,,
Software self install,automatable,,
Automation of decommission request tickets,automatable,,
Monthly DR coordination(No Tickets in place. Only webx invite sent to team),automatable,,
Cisco switches daily backups alerts monitoring (40 minutes * 3 shifts),automatable,,
TPC Probe monitoring & restart( 30 *3 Shifts) ,automatable,,
SM Jobs Success/Abend reports preparation and troubleshoot and rerun the jobs (20 jobs per facility per day * 12 facilities). Not coming under ticketed job,automatable,,
Spares Availability Check (per site 5 minutes spent daily * 12 sites per week),automatable,,
Storage Pool Monitoring (Non Automated Pools only)- manual efforts on 12 facilities,automatable,,
Shadow session- Manual sessions- 350 tickets monthly with 4 hours avg time spent,automatable,,
Shadow session- Automated sessions- 500 tickets monthly with 20 minutes spent,automatable,,
Share Drive,automatable,,
Mainframe Service FORM Redesign,automatable,,
FIC databases refresh,automatable,,
Check Listener registeration with the IPC for all the databases,automatable,,
C-drive disk cleanup,automatable,,
Windows service Auto start,automatable,,
Hardware inventory/Software inventory Live reporting,automatable,,
preparing Script to auto-repair SCCM broken clients for both workstation and servers.,automatable,,
Design a mechanism in SCCM to execute SOP based task on Multiple servers,automatable,,
"Powershell script for providing Office 365 CRM Online license, adding users in cloud group and add the user entry in CRM Online license SharePoint List.",automatable,,
PowerShell script for One Drive content of leaver employee,automatable,,
Auto Start of SQL Agent,automatable,,
Auto Standardize SQL Configurations,automatable,,
Policy Compliance,automatable,,
LogShipping Status,automatable,,
Replication Status,automatable,,
Backup Status,automatable,,
Resource Mailbox access,automatable,,
User mailbox access,automatable,,
Send As access,automatable,,
Set Out Of Office,automatable,,
Email Forwarding,automatable,,
Script has been created to generate Scom certificate,automatable,,
Start/Stop/Recycle Application,automatable,,
backup/archive weblogic log,automatable,,
weblogic server health check/wlst,automatable,,
JDBC configuration / WLST,automatable,,
JDBC Thread Pool Monitor / WLST,automatable,,
WLST script for create domain,automatable,,
Automatic Silent mode installation ,automatable,,
Recycle NodeManager,automatable,,
WLST Script Application Deployment,automatable,,
JVM Parameters,automatable,,
Rather than Manual Monitoring and creation of tickets.we want to create autogenerated tickets for all the backup failures.,automatable,,
Rather than Manual Monitoring and creation of tickets.we want to create autogenerated tickets for all the backup failures.,automatable,,
Rather than Manual Monitoring and creation of tickets.we want to create autogenerated tickets for all the backup failures.  we will route 100% BE alerts to SNOW.,automatable,,
Managing Data domain capacity ,automatable,,
Package management,automatable,,
"LUN request, File system creation, removal and extension.",automatable,,
"Handling and resolving all the alert tickets (Includes CPU, Memory and disk alerts)",automatable,,
Providing the backups reports to management whenever/wherever required.,automatable,,
Adding data files to the tablespace for database,automatable,,
Quarterly Patching of the databases,automatable,,
Tablespace creation of the databases,automatable,,
user creation on the databases,automatable,,
Decommissioning the databases,automatable,,
Installation of client binaries,automatable,,
Installation of database binaries,automatable,,
Reset the password for users.,automatable,,
Bulk Release Emails from Quarantine,automatable,,
Bulk Export Mailbox Usage,automatable,,
Monitor the DC and ADFS servers,automatable,,
export license usage in FSL tenant,automatable,,
Bulk Display Name Change,automatable,,
Bulk OU Move,automatable,,
To find the local admin account for remote machine,automatable,,
Account lock outs issues,automatable,,
Licence removal,automatable,,
Provided Disk space utilization of all DCs to migration team,automatable,,
To find out last logon user on the computer,automatable,,
How to view deleted object in DCs,automatable,,
"Adding new Sites, subnet and site links in DC",automatable,,
exporting membership details from FSL,automatable,,
"Created query in DC to bulk update such as Address, enable, disable etc",automatable,,
unsync from directory,automatable,,
Setting up forwarding in bulk,automatable,,
Bulk License Modification,automatable,,
 Group policy - link GP to multiple OU,automatable,,
"Configuration changes - Switches, Routers, LB, WO, WLC, ISE",automatable,,
Switches and Routers - Periodic backup,automatable,,
Backup prior to maintenance,automatable,,
Creating uptime reports.,automatable,,
"Password change - Switches, Routers, LB, WO, WLC, ISE",automatable,,
LUN allocation to servers from VIPR tool,automatable,,
NFS share creation,automatable,,
LUN reclamation,automatable,,
CIFS share creation,automatable,,
Adding ESX hosts to the existing storage groups,automatable,,
Quota entry addition/modification for the filesystem,automatable,,
Filesystem reclamation,automatable,,
Monitoring agent installation and troubleshooting agent issues.,automatable,,
"User Administration ( creation, deletion, password related issues and sudo access )",automatable,,
Server Reboot Checklist,automatable,,
"Mail issues, Que monitoring",automatable,,
"NTP, timezone issues - Service monitoring, time sync",automatable,,
vCenter Alerts management,automatable,,
"MS patching activity - Mail communication, follow up, downtime conformation, CR creation, executing patches, validation.",automatable,,
"Server decommission (including Physical, Virtual and cloud) in all the regions",automatable,,
Hardening the images using CIS CAT tool,automatable,,
VMware Capacity planning,automatable,,
Server Hardening ,automatable,,
ESX performance issue,automatable,,
Heartbeat issue,automatable,,
High CPU issue,automatable,,
High memory issue,automatable,,
OS drive space issue,automatable,,
Duplicate Tickets,automatable,,
Patching Windows,automatable,,
High memory issue,automatable,,
Unix Daemon,automatable,,
High CPU issue,automatable,,
Monitoring Daemon,automatable,,
Heartbeat issue,automatable,,
Duplicate Tickets,automatable,,
Linux Patching,automatable,,
Daily Exchange Report,automatable,,
Memory Utilization,automatable,,
CPU Utilization,automatable,,
C Drive Cleanup,automatable,,
Non C Drive,automatable,,
Peoplesoft GAM Report,automatable,,
VM Snapshot Cleanup,automatable,,
VM Health Check,automatable,,
Share folder Management,automatable,,
Internal Access Sharepoint,automatable,,
VMware Tools Installation,automatable,,
IE Optimization,automatable,,
Robot Inactive,automatable,,
Post VM Checklist,automatable,,
Swap Memory Usage,automatable,,
Restart or Stop service,automatable,,
Self-Audit Monthly Reports,automatable,,
Database and Tablespace Growth Report,automatable,,
Dump Alert Remediation,automatable,,
Proactively remediating Database's process and session limit utilization and preventing major incidents,automatable,,
Archive file system analysis report ,automatable,,
Automatic Instance Startup,automatable,,
Archive Alerts Analytics,automatable,,
Data guard Synch Alert,automatable,,
Database - Builds & Customization after builds,automatable,,
Invalid Objects report to AMS team,automatable,,
Non Standard Datafile Configurations,automatable,,
Database RMAN Refresh and Point in time restoration,automatable,,
Datafile mount point / Diskgroups  growth planning ,automatable,,
Unused account report ,automatable,,
Automation of Application Account Non Expiry Password Profile Remediation,automatable,,
Automation of Oracle Schema Refresh pre and post steps ,automatable,,
Automation of Statistics Management,automatable,,
Automation of backup monitoring,automatable,,
Automation for SQL Server related services,automatable,,
Automation for SQL Error Log size getting exceeds throshold Limits,automatable,,
Backup Server upgrade TSM / CommVault,automatable,,
Data restore from media,automatable,,
Manage backup failure (due to missed files or missed backups) and analyze logs and run make up jobs,automatable,,
moving user or comp ou to ou,automatable,,
Backup DHC report automation,automatable,,
Daily Health check Dash board,automatable,,
NAS  auto volume resize,automatable,,
Volume Reclaim & Destroy,automatable,,
Orphan server remediation from storage,automatable,,
Bardscpi-Folder Creation,automatable,,
Restricted Folder Creation,automatable,,
File Share Quota Increase,automatable,,
SSD File Share Creation,automatable,,
Bardscpi Folder Access (Task Assisted),automatable,,
File Share/Folder Deletion,automatable,,
File Share remediation/Migration,automatable,,
NFS/MIX Mount Share Creation,automatable,,
Bardscpi New Setup,automatable,,
Top/Down File Share Creation (>100GB),automatable,,
NAS share/folder rename,automatable,,
NFS Mount Access (Existing Share),automatable,,
ILO & MP console password reset (Physical Quartely activity),automatable,,
NAS Migration,automatable,,
McAfee DBS Agent Installation /Upgrade,automatable,,
CFG to HTML automation of configuration backup,automatable,,
Tripwire Agent Installation/Upgrade,automatable,,
Filesystem extension ,automatable,,
OML/OVO - Agent upgrade tasks,automatable,,
CommVault Agent Deployment/Upgrade,automatable,,
SAN Migration (end to end),automatable,,
Non-Production Unix account unlock/reset,automatable,,
Daemon restart tasks for Non-Production servers(syslog/cron),automatable,,
Log rotation tasks for Unix to reduce /var FS utilization.,automatable,,
OpenVMS backup report automation,automatable,,
Unix Performance management report,automatable,,
Server Patching  -around 2000 servers - 1 Hrs ,automatable,,
Non-Production Linux account unlock/reset,automatable,,
CFG to HTML automation of configuration backup,automatable,,
ILO  password reset (Physical),automatable,,
NAS Migration,automatable,,
SAN Migration,automatable,,
McAfee DBS Agent Installation /Upgrade,automatable,,
Tripwire Agent Installation/Upgrade,automatable,,
Physical to Virtual Migration ,automatable,,
Virtual to Virtual migration,automatable,,
CommVault Agent Deployment/Upgrade,automatable,,
Exadata Hardware check,automatable,,
vulnerability remediaton (Security Patching),automatable,,
Critical Server Non-OS Filesystem threshold check ,automatable,,
Filesystem Read -only check ,automatable,,
Log rotation tasks for Linux to reduce /var FS utilization.,automatable,,
generate_account_report,automatable,,
Automating Documentation update during packaging,automatable,,
Automating required folder creation during packaging,automatable,,
Updating Packaging template with common/repetative tasks,automatable,,
Clearing unwanted data from Windows C Drive,automatable,,
Starting Services for Citrix Servers after logging into Server,automatable,,
group owner change,automatable,,
Individual Utilization Report,automatable,,
Reports Daily,automatable,,
Early Edition Report,automatable,,
Reports Monthly,automatable,,
Prod/Non-Prod Migration Activity,automatable,,
Citrix Disable Utility,automatable,,
Sitescope Deletion Utility,automatable,,
NNM Addition Utility,automatable,,
NNM Deletion Utility,automatable,,
Monitoring Deletion Utility,automatable,,
OML Health Check,automatable,,
SHR Datacollection Autofix,automatable,,
Script for Disabled Mailbox archival,automatable,,
Preventing Mail Flow Issues due to Invalid Mail Contacts,automatable,,
Proactive Increase of Mailbox quota in APAC  ,automatable,,
Capacity planning script,automatable,,
DDL Monitoring Script,automatable,,
Script for Disk Space Monitoring on Mount Points,automatable,,
Enabling Auto response,automatable,,
Creating bulk meeting rooms,automatable,,
Mailbox import/export,automatable,,
Email retrival ,automatable,,
Restart exchange services,automatable,,
Permission (full/send as/send on behalf,automatable,,
Monitoring cluser status on exchange servers,automatable,,
Bulk Public folder movement,automatable,,
ESXi_Host_Uptime,automatable,,
HA_DRS,automatable,,
Health Check of new Citrix servers,automatable,,
 vmlim,automatable,,
Password expires report for China and Taiwan users,automatable,,
LDAP/OVD Service Monitoring ,automatable,,
Modify root-sap- account,automatable,,
adding user to group,automatable,,
VMsDeletion,automatable,,
cleansnapshot,automatable,,
Identifying the number of servers in a farm,automatable,,
Identifying the Active applications,automatable,,
Identifying the Citrix license usage,automatable,,
Identifying the Disconnected session,automatable,,
Application Logon Enabled / Disabled,automatable,,
Identifying the Server Load,automatable,,
Health Check - ICA Port,automatable,,
List offline / online servers in XenApp farm,automatable,,
Identifying the Active session,automatable,,
Load evaluator check,automatable,,
Reset the user session,automatable,,
Citrix farm Server inventory,automatable,,
Citrix farm Application inventory,automatable,,
Citrix service health check,automatable,,
Macafee,automatable,,
windowsAvailability,automatable,,
Windows_Drive_Usage_Report,automatable,,
Schedule job monitoring,automatable,,
Print queue backup,automatable,,
Pre_Patch,automatable,,
Post Patching,automatable,,
Physical server storage RU data,automatable,,
Password_Reset,automatable,,
NTP_Config,automatable,,
"DNS, Backup, Monitoring, PAM Removal request",automatable,,
Nic Update,automatable,,
App install,automatable,,
Domain move requests,automatable,,
OU move requests,automatable,,
Memory_and_CPU_Performance,automatable,,
manual patching,automatable,,
Defects after patching (Check / Get installed patches),automatable,,
RDP/PING/Uptime check - Post patching,automatable,,
Service health check - Pre & Post Patching / Reboot,automatable,,
Disk cleanup - C drive,automatable,,
Cluster failover monitoring,automatable,,
"VSS writers, Shadow copy settings",automatable,,
Bulk Reboot,automatable,,
Event Id Monitoring,automatable,,
List all shared foler permissions,automatable,,
Page File Modifier,automatable,,
Get Scheduled Tasks,automatable,,
Doer n Checker,automatable,,
Splunk service restart,automatable,,
scansnapshot,automatable,,
Bulk VM deletion,automatable,,
Performance report for multiple VM,automatable,,
Remove Alarms and Triggers (obsolete),automatable,,
Real time performance data using ESX TOP,automatable,,
Datastore mount / unmount,automatable,,
ESX configuration changes,automatable,,
Multiple ESX host Alarm collector and Notifier,automatable,,
Avamar Replication to Grid,automatable,,
"Daily Backup Reports in region-wise(AGDC,FGDC & SGDC)",automatable,,
Monthly Utilization Report of Data Domain & Avamar,automatable,,
SNOW tool template creation for routine Task,automatable,,
Shift Handover template automation,automatable,,
Daily Ops call template automation,automatable,,
IP Address Management ,automatable,,
Automated Configuration backup,automatable,,
EIGRP state change alert ,automatable,,
Monthly reporting ,automatable,,
Syslog reporting,automatable,,
Device & port capacity reporting,automatable,,
Device Envoriment Monitoring,automatable,,
DC Storage  replication Alerts,automatable,,
storage hardware Helath check ,automatable,,
Datastore(LUN) / RDM Lun Creation ,automatable,,
Storage Monitoring ,automatable,,
User history log capture ,automatable,,
OS security hardening for Linux ,automatable,,
OS security hardening for AIX,automatable,,
Disk Path Failure,automatable,,
Log rotation in syslog server ,automatable,,
AIX monthly OS backup ,automatable,,
VIO Monthly OS backup,automatable,,
AIX Full system configuration collection,automatable,,
Linux Full system configuration collection,automatable,,
Filesystem Utlization ,automatable,,
Passwordless SSH Setup between servers,automatable,,
Changing Unsuccessful Login Counts,automatable,,
root password change ,automatable,,
Check the File System status ,automatable,,
Check print queues,automatable,,
View/List System Processes,automatable,,
Add/Remove/modify groups,automatable,,
Monitor File System Usage  - using df and du commands,automatable,,
Check Patch/packages,automatable,,
VMware snapshot alerts,automatable,,
Server Reboot Automation(Windows),automatable,,
Automation of Server commission / decommission checklist ,automatable,,
CPU Utilization,automatable,,
Space Utilization(Tree Size reporting),automatable,,
Server not reachable ,automatable,,
Host down,automatable,,
Compliance Check Script,automatable,,
OS disk space capacity report,automatable,,
Security Patches,automatable,,
System Performance Report Collection,automatable,,
Service Stop Alerts,automatable,,
Software/Tools Installation,automatable,,
Vcenter Health Check Report,automatable,,
Checking and Monitoring Hardware alerts on ESX host servers,automatable,,
Server uptime status,automatable,,
Server time zone status and change,automatable,,
VMware snapshot alerts,automatable,,
Elevated Access users ,automatable,,
Tree Size reporting - Windows,automatable,,
Server Reboot Automation(Windows),automatable,,
Automation of Server commission / decommission checklist ,automatable,,
Service Account Automation,automatable,,
"CPU, Memory and Disk Utilization",automatable,,
Print Queue creation / deletion Automation and auditing,automatable,,
Slipstreaming updates as the workstations get imaged to reduce the imaging time,automatable,,
Staging of patches to newly build server,automatable,,
SCCM healthcheck script,automatable,,
WSUS/ SCCM cleanup,automatable,,
Disk Cleanup (Drive C:),automatable,,
Service(s) termination recovery,automatable,,
Passwordless SFTP Setup,automatable,,
Add/Remove/modify users,automatable,,
Add/Delete/Modify Sudo/ACL/ &Display; access,automatable,,
Check the File System status - stat command,automatable,,
File System Housekeeping,automatable,,
Monitor File System Usage  - using df and du commands,automatable,,
View/List System Processes,automatable,,
"Check Jombie process - using  top,ps commands.",automatable,,
monitor CPU Utilization,automatable,,
monitor Memory Utilization,automatable,,
Monitor I/O Utilization,automatable,,
monitor the Network Utilization - 3 predefined params,automatable,,
Analysis of performance utilization  - based on disk and cpu usage ,automatable,,
Health check report for Switches ,automatable,,
Configure hardware failure alert,automatable,,
Daily backup report generation,automatable,,
All media servers are up and running,automatable,,
All tape drives are up and running,automatable,,
No drives are down or in any other mode,automatable,,
Check the space of availability on master and media servers,automatable,,
Backup status reports ,automatable,,
"Backup server, Media Server , Tape library availability",automatable,,
Exchange Health Check Report,automatable,,
Exchange Backup/Queue Report,automatable,,
Exchange Disk Space Monitoring Report,automatable,,
Lync Health Check Report,automatable,,
Database monitoring,automatable,,
Disk free space,automatable,,
Backup check and reports,automatable,,
SQL and related services health check,automatable,,
Create database,automatable,,
Configure Database Mail,automatable,,
Create DB maintenance plans,automatable,,
Migrate database,automatable,,
I/O bottlenecks,automatable,,
CPU usage,automatable,,
Memory usage,automatable,,
Error logs,automatable,,
Database file growth rate,automatable,,
Transaction log file growth rate,automatable,,
Deadlocks,automatable,,
Agent job status,automatable,,
Blocked Processes,automatable,,
To create local groups,automatable,,
Admin local User/Group creation or deletion or disabling,automatable,,
Daily Client backup status reports,automatable,,
Daily Dashboard reportings,automatable,,
Daily SQL/RMAN backups reporting,automatable,,
Daily Oracle RMAN backups Reports for Dev. Servers from Avamar,automatable,,
Daily Avamar Servers Maintanence status reports,automatable,,
Citrix Print Manager Service Status checking or starting,automatable,,
XenApp Load Report,automatable,,
Daily Farm Check,automatable,,
Duplicate Profile,automatable,,
Removing Disconnected User sessions in Citrix,automatable,,
Checking Servers in Load for an Application,automatable,,
Checking Notepad for a Server,automatable,,
Creating a new Resource Group,automatable,,
Creation of Secondary Resource mailbox,automatable,,
Creation of Conference Room mailbox,automatable,,
Daily DB Check,automatable,,
Health Readiness ,automatable,,
Microsoft SQL Server Silent Installation 2012,automatable,,
Login Permission Report,automatable,,
SQL Server Database Level Backup Report.,automatable,,
SQL Server Database Creation Alerts.,automatable,,
SQL Server Storage Reports.(Capacity planning and Management),automatable,,
SQL Server Log File Saturation Info.,automatable,,
Configure and Manage CMS,automatable,,
BaseLine Information  (Monitoring),automatable,,
SQL Build Report.,automatable,,
Configure Resource Governor,automatable,,
Database creation and configuration,automatable,,
Configure Availability Group,automatable,,
Link utilization Report,automatable,,
Polycom Reboot,automatable,,
Configuring network device backup reports,automatable,,
Device config change reports,automatable,,
Device availability for Monthy reports,automatable,,
Interface utlization with top talker report,automatable,,
Automating Holiday routing,automatable,,
Enable users to reset their VM PIN,automatable,,
Automatic Instance Startup,automatable,,
"User accounts - like create ,delete using oracle query",automatable,,
Manage user Profiles/Policies  - using grant like queries,automatable,,
Configure TNS ,automatable,,
"Configure SQLNET (expire time ,defaultdomain,defaultzone )",automatable,,
Check database status  - using the predefined db query,automatable,,
Check log files for errors,automatable,,
Check Connectivity Status,automatable,,
OS and Network related,automatable,,
Tablespace  - monitors tablespace using the predefined db query,automatable,,
Mount points where Oracle data files located,automatable,,
Schedule,automatable,,
Monitor  (3 predefined parameters),automatable,,
"Perform manual backup, if required",automatable,,
